Description,Sentiment_Analysis,Polarity
sicak geldi,-1,-0.9943844676017761
patates puresi guzel degil,-1,-0.9994250535964966
eren abi iyidir,1,0.9230929613113403
kuryeci telefonda 2 dakikaya geliyorum dedi 15 dakika sonra geldi siparisim eksik gönderilmisti aradim belirtim baska bir kuryeci telefonda tekrar 23 dakikaya oradayim dedi yine 15 dakikayi buldu demek istedigim telefonda sizi söyledikleri saate 10 dakika ekleyin öyle çikin disariya,-1,-0.9877465963363647
birazdaha hizli olabilir,-1,-0.8697271347045898
bunlara görüp geç,-1,-0.9413421154022217
bekledigimden hizli geldi,-1,-0.9994370937347412
tesekkürler,1,0.9723026752471924
patatesler kötü,-1,-0.999064564704895
güzel,1,0.9026162028312683
geç saatte verdigim mi bilmiyorum feci kokuyordu bayat gibiydi genel olarak böyle bir problem yasamiyorum,-1,-0.9994145035743713
80 lira verdik porsiyonlar,-1,-0.9481871128082275
patatesleri bayat gibiydi soguktu,-1,-0.9980624914169312
söyledigim sipariste karabiberli mayonezli burger isaratlememe ragmen acili gönderilmisti onun disinda güzeldi,0,0.5719041228294373
kurye ferdi beye tesekkür ederim,-1,-0.8185462951660156
tek kelime yönden harikulade,1,0.9927983283996582
guzeldi,1,0.9682750105857849
8 dakikada geldi dünya rekoru,1,0.9956048130989075
anlatmaya gerek var mi hehehe,1,0.9986111521720886
kesin pisirimi yapan personel degisti,-1,-0.9658696055412292
zmanki hizli lezzetli,0,-0.5038061141967773
hersey soguktu 1 saate geldi yemek son kfc yiyisimdi,-1,-0.997958242893219
porsiyonlari yetersiz,-1,-0.9963411092758179
porsiyonlari düsürülmüs,-1,-0.9947351813316345
1010,1,0.9682452082633972
patatesler bayat soguktu,-1,-0.9988952875137329
xtreme kutuyu içinde coleslaw oldugu seçmistim kutunun içinden çikmadi,-1,-0.9723233580589294
kemiksiz çitir tavuk güzel gravy sos patates püresi çook lezzetliydiii,1,0.9794988632202148
kemiksiz çitir tavuk güzel gravy sos patates püresi çook lezzetliydiii,1,0.9794988632202148
fena degil,-1,-0.9879937171936035
sicak hizli geldi,-1,-0.9966589212417603
hizmet güzellesmis sey sicak geldi sicak geldigi içinde lezzetliydi,-1,-0.9982234835624695
42 dkda geldi pipetislak mendil unutulmus patatesler sogmus,0,-0.5540473461151123
patatesler önceden pismis getirilirken yaga batirilip getirilmis yag emmisdi tavuklarda ayni sekildeydi kfc çitir tavuklariyla mesur bir zincir restorant gelen ürünler kalanlari göndermislerdi verdigimiz paraya yazil dedik,-1,-0.9980477690696716
peçete bile yoktu,-1,-0.9924006462097168
notlari dikkate alin lütfen,0,0.5834440588951111
küçültmüssünüz,-1,-0.9899329543113708
mükemmel bir servis ilginiz tsk ederim,1,0.9929276704788208
sürekli siparis veririm ilk 3 kata çikmadi kurye arkadas arayip giris kata inip teslim almami istedi normal prosedür,0,-0.5813300609588623
berbatti hersey,-1,-0.9982165098190308
bakin tavuklariniz allah affetsin kötüydü bekli eski tavuk olduklari net belli bende isin benzerini yapiyorun sizin isletmeye eski bayat tavuk satmak yakismiyo,-1,-0.9906796813011169
rh,1,0.9141138195991516
kavacigin hizli servis yapan yeri süphesiz,-1,-0.6036664247512817
süperdi tesekkür ederim,1,0.9878143072128296
taner demir e sonsuz tesekürler,-1,-0.7489745616912842
hizliydi,-1,-0.9676555395126343
hizli lezzetli,-1,-0.9248684644699097
patatesler geldi citir olmasi gereken hersey sunger gibiydi,1,0.9121819138526917
özellikle not yaziyorum diyorumki 8 saat önce pismis tavuk göndermeyin tavugu bana gönderenin yanina gitsem hadi aga sen ye bakalim nasil güzel mi desem yemez bayatti bayat halde standartiniz sekilde ürün gönderin saatler önce pismis bayat tavuklari yiyin yada atin,-1,-0.9985947608947754
taner bey hizliydi tesekürler,-1,-0.9766328930854797
biraz soguk geldi,-1,-0.9957305192947388
ilk bir tik soguktu onun disinda hed sey süper,1,0.9230027198791504
yine zamanki muhtesem hiz muhtesem lezzet,1,0.9915933609008789
eksik geldi menü menüde olmasi gereken ekmegi yoktu hamburgerin üstüne basmislardi,-1,-0.9990686774253845
zaman isterim zaman güzel notlara biraz dikkat ederlerse güzel olur,-1,-0.9254515171051025
hizli,-1,-0.9813809394836426
yaklasik olarak 600 dairelik bir yerde körfez sitesinde oturmaktayiz önceden motor kurye tarafindan site içinde problem yasandigindan artik site içine moto kurye almiyorlar yemek sektöründe önde gelen firmalar hatta bütün firmalar içeri girip evimize hizmet verirken sadece kfc vermiyor,0,0.5275797247886658
